Последовательность;Код работы.2;Наименование работы;Код работы.3;Наименование работы2;Код работы.4;Наименование работы3;Код работы.5;Наименование работы4
1640;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;361;Выпуски наружных сетей хозяйственно - бытовой и ливневой канализации
1650;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;363;Обратная засыпка наружных сетей хозяйственно - бытовой и ливневой канализации
1660;007;Внутриплощадочные наружные сети;034;Наружные внутриплощадочные сети НВК, в т.ч. дренаж;109;Внутриплощадочные НВК;353;Обратная засыпка наружного водопровода
1670;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;342;Траншеи (НО) наружного освещения (земляные работы)
1680;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;108;Монтаж сети наружного освещения;343;Линейный монтаж (НО) наружного освещения (кабель, муфты)
1690;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;226;Магистральные линии АППЗ (стояки)
1700;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;077;СКУД;236;Магистральные линии СКУД (стояки)
1705;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;167;РАСЦО (региональная автоматизированная система централизованного оповещения);604;Магистральные линии РАСЦО (стояки)
1710;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;078;Видеонаблюдение (СОТ);241;Линейный монтаж СОТ видеонаблюдения
1720;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;079;Диспетчеризация;246;Магистральные линии АСУД  диспетчеризации (стояки)
1730;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;254;Магистральные линии ТВ (стояки)
1740;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;251;Магистральные линии ТФ (стояки)
1750;005;Внутренние инженерные системы;047;Внутренние системы газофикации;135;Газофикация;470;Стояки АГСВ
1760;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);201;Электрические линии МОП и ЛК
1770;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);200;Электрические линии квартир
1780;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);203;Электрические линии тех.этажа
1790;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);206;Электрические линии подвала
1800;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);205;Электрические линии фасада
1810;005;Внутренние инженерные системы;028;Внутренние электромонтажные системы;070;Линейный монтаж (монтаж кабеля/провода);204;Электрические линии кровли
1820;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;335;Линейный монтаж. Электрические сети 0,4/10 кВ (кабель, муфты)
1830;007;Внутриплощадочные наружные сети;035;Наружные внутриплощадочные слаботочные сети;111;Внутриплощадочные НСС;371;Трубопроводы, колодцы кабельной канализации сетей связи
1840;007;Внутриплощадочные наружные сети;033;Наружные внутриплощадочные сети электроснабжения и освещения;107;Внутриплощадочные НЭС;336;Обратная засыпка. Электрические сети 0,4/10 кВ
1850;007;Внутриплощадочные наружные сети;035;Наружные внутриплощадочные слаботочные сети;111;Внутриплощадочные НСС;373;Обратная засыпка кабельной канализации сетей связи
1850;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;531;Основания из песка
1855;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;532;Основания из щебня
1860;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;382;Конструктивные слои дорог, площадок, тротуаров из песка, щебня, растительного грунта, устройство геотекстиля, георешёток
1860;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;530;Геосинтетические материалы
1870;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;383;Бортовые камни
1870;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;533;Покрытия и основания из асфальтобетонных смесей
1870;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;534;Покрытия из сборных бетонных изделий
1880;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;075;АППЗ;225;Линейный монтаж АППЗ
1880;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;535;Набивные покрытия и основания
1890;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;077;СКУД;235;Линейный монтаж СКУД
1890;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;537;Покрытия из резины
1895;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;167;РАСЦО (региональная автоматизированная система централизованного оповещения);605;Линейный монтаж РАСЦО
1900;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;132;АСКУЭ;450;Линейный монтаж систем АСКУЭ и оконечного оборудования
1900;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;142;Система усиления сотовой связи (CУСС);523;Линейный монтаж СУСС
1900;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;536;Отмостка
1910;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;078;Видеонаблюдение (СОТ);240;Магистральные линии СОТ видеонаблюдения (стояки)
1920;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;079;Диспетчеризация;245;Линейный монтаж АСУД  диспетчеризации
1930;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;250;Линейный монтаж ТВ
1940;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;080;Телефонизация, ТВ;249;Линейный монтаж ТФ
1950;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;081;Часофикация;257;Магистральные линии часофикации (стояки)
1950;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;538;Газоны
1960;005;Внутренние инженерные системы;029;Внутренние слаботочные системы;081;Часофикация;258;Линейный монтаж часофикации
1960;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;539;Технические средства организации движения
1970;005;Внутренние инженерные системы;047;Внутренние системы газофикации;135;Газофикация;469;Разводка слаботочных сетей АГСВ
1980;005;Внутренние инженерные системы;047;Внутренние системы газофикации;135;Газофикация;471;Газовые счетчики и оборудование АГСВ
1990;006;Внутренние отделочные работы;030;Внутренняя отделка помещений;086;Оштукатуривание стен;494;Подготовка наружных стен под оштукатуривание
2000;005;Внутренние инженерные системы;027;Внутренние сантехнические системы (ОВ и ВК);066;Вентиляция;608;СТК. Отверстия под КИВ
2000;009;Благоустройство территории;043;Благоустройство территории;119;Комплекс работ по благоустройству, озеленению;384;Покрытия из асфальта, плитки, камней, резины, гранитного отсева, растительного грунта, заполнений георешёток
